MsgID.LOCAL_POSITION,1533654981.8864281,0.0436264,0.0980676,-3.2837825
MsgID.LOCAL_VELOCITY,1533654981.8864281,0.0427465,0.0116542,-4.5587311
MsgID.GLOBAL_POSITION,1533654982.1373022,-122.3974512,37.7924813,4.4460000
MsgID.LOCAL_VELOCITY,1533654982.1373022,0.0200000,0.0000000,-4.6400000
MsgID.LOCAL_POSITION,1533654982.1376173,0.1512943,-0.1119311,-4.4461355
MsgID.LOCAL_VELOCITY,1533654982.1376173,0.0249684,-0.0012545,-4.6413288
MsgID.GLOBAL_POSITION,1533654982.3874540,-122.3974512,37.7924803,5.3970000
MsgID.LOCAL_VELOCITY,1533654982.3874540,0.0100000,0.0000000,-2.4800000
MsgID.LOCAL_POSITION,1533654982.3877699,0.0397836,-0.1067402,-5.3976984
MsgID.LOCAL_VELOCITY,1533654982.3877699,0.0185098,-0.0001204,-2.4839776
MsgID.GLOBAL_POSITION,1533654982.6359057,-122.3974519,37.7924803,5.7010000
MsgID.LOCAL_VELOCITY,1533654982.6359057,0.0100000,0.0000000,0.0400000
MsgID.LOCAL_POSITION,1533654982.6782746,0.0394845,-0.1708349,-5.7018414
MsgID.LOCAL_VELOCITY,1533654982.6782746,0.0173883,-0.0001131,0.0437965
MsgID.STATE,1533654982.8858716,True,True
MsgID.GLOBAL_HOME,1533654982.8862073,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654982.8864319,-122.3974511,37.7924801,5.4520000
MsgID.LOCAL_VELOCITY,1533654982.8864319,0.1800000,0.0000000,1.6300000
MsgID.LOCAL_POSITION,1533654982.9302158,0.0206144,-0.1036877,-5.4523678
MsgID.LOCAL_VELOCITY,1533654982.9302158,0.1815600,0.0030638,1.6355815
MsgID.GLOBAL_POSITION,1533654983.1364872,-122.3974505,37.7924816,5.0050000
MsgID.LOCAL_VELOCITY,1533654983.1364872,1.5100000,0.0000000,1.5800000
MsgID.LOCAL_POSITION,1533654983.1366663,0.1857069,-0.0448344,-5.0055423
MsgID.LOCAL_VELOCITY,1533654983.1366663,1.5184891,0.0037493,1.5888312
MsgID.GLOBAL_POSITION,1533654983.3869159,-122.3974511,37.7924885,4.8280000
MsgID.LOCAL_VELOCITY,1533654983.3869159,3.6900000,0.0000000,-0.1000000
MsgID.LOCAL_POSITION,1533654983.3878763,0.9492345,-0.0979994,-4.8288226
MsgID.LOCAL_VELOCITY,1533654983.3878763,3.7023439,-0.0002176,-0.1120884
MsgID.GLOBAL_POSITION,1533654983.6372776,-122.3974510,37.7924999,4.9780000
MsgID.LOCAL_VELOCITY,1533654983.6372776,5.0200000,0.0000000,-0.5400000
MsgID.LOCAL_POSITION,1533654983.6375906,2.2162755,-0.0916083,-4.9787760
MsgID.LOCAL_VELOCITY,1533654983.6375906,5.0294514,0.0034216,-0.5412976
MsgID.STATE,1533654983.8862615,True,True
MsgID.GLOBAL_HOME,1533654983.8866146,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654983.8868999,-122.3974493,37.7925114,5.0290000
MsgID.LOCAL_VELOCITY,1533654983.8868999,5.6500000,0.0000000,0.1700000
MsgID.LOCAL_POSITION,1533654983.8871748,3.4908862,0.0562705,-5.0291815
MsgID.LOCAL_VELOCITY,1533654983.8871748,5.6529660,0.0053618,0.1720371
MsgID.GLOBAL_POSITION,1533654984.1383240,-122.3974497,37.7925251,4.9820000
MsgID.LOCAL_VELOCITY,1533654984.1383240,6.5900000,0.0000000,0.1800000
MsgID.LOCAL_POSITION,1533654984.1822574,5.0221324,0.0254429,-4.9826040
MsgID.LOCAL_VELOCITY,1533654984.1822574,6.5934606,-0.0002563,0.1871280
MsgID.GLOBAL_POSITION,1533654984.3870313,-122.3974497,37.7925394,4.9760000
MsgID.LOCAL_VELOCITY,1533654984.3870313,7.6000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,1533654984.3873522,6.6075730,0.0218638,-4.9769769
MsgID.LOCAL_VELOCITY,1533654984.3873522,7.6073861,-0.0032037,-0.0392641
MsgID.GLOBAL_POSITION,1533654984.6372359,-122.3974493,37.7925570,4.9920000
MsgID.LOCAL_VELOCITY,1533654984.6372359,8.3400000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,1533654984.6376686,8.5622244,0.0587234,-4.9927292
MsgID.LOCAL_VELOCITY,1533654984.6376686,8.3449078,-0.0022940,-0.0143664
MsgID.STATE,1533654984.8866231,True,True
MsgID.GLOBAL_HOME,1533654984.8881454,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654984.9304302,-122.3974478,37.7925760,4.9860000
MsgID.LOCAL_VELOCITY,1533654984.9304302,8.6400000,0.0000000,0.0500000
MsgID.LOCAL_POSITION,1533654984.9310882,10.6719036,0.1873908,-4.9864211
MsgID.LOCAL_VELOCITY,1533654984.9310882,8.6497803,-0.0055928,0.0581073
MsgID.GLOBAL_POSITION,1533654985.1379049,-122.3974486,37.7925968,4.9790000
MsgID.LOCAL_VELOCITY,1533654985.1379049,8.7800000,-0.0100000,-0.0100000
MsgID.LOCAL_POSITION,1533654985.1381900,12.9798393,0.1195619,-4.9796166
MsgID.LOCAL_VELOCITY,1533654985.1381900,8.7899294,-0.0164837,-0.0102734
MsgID.GLOBAL_POSITION,1533654985.3885665,-122.3974504,37.7926170,4.9750000
MsgID.LOCAL_VELOCITY,1533654985.3885665,8.8400000,-0.0100000,-0.0200000
MsgID.LOCAL_POSITION,1533654985.3890004,15.2301903,-0.0438051,-4.9755077
MsgID.LOCAL_VELOCITY,1533654985.3890004,8.8412342,-0.0175321,-0.0222677
MsgID.GLOBAL_POSITION,1533654985.6376603,-122.3974505,37.7926372,4.9720000
MsgID.LOCAL_VELOCITY,1533654985.6376603,8.8700000,0.0000000,-0.0700000
MsgID.LOCAL_POSITION,1533654985.6381359,17.4713402,-0.0497244,-4.9724989
MsgID.LOCAL_VELOCITY,1533654985.6381359,8.8783731,-0.0045555,-0.0779479
MsgID.STATE,1533654985.8861012,True,True
MsgID.GLOBAL_HOME,1533654985.8863239,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654985.8881736,-122.3974498,37.7926570,4.9730000
MsgID.LOCAL_VELOCITY,1533654985.8881736,8.8900000,0.0000000,-0.1100000
MsgID.LOCAL_POSITION,1533654985.9301498,19.6686268,0.0128380,-4.9734492
MsgID.LOCAL_VELOCITY,1533654985.9301498,8.8957729,0.0048966,-0.1161654
MsgID.GLOBAL_POSITION,1533654986.1385303,-122.3974481,37.7926766,4.9800000
MsgID.LOCAL_VELOCITY,1533654986.1385303,8.8900000,0.0000000,-0.1000000
MsgID.LOCAL_POSITION,1533654986.1388664,21.8478909,0.1624545,-4.9800878
MsgID.LOCAL_VELOCITY,1533654986.1388664,8.8926201,-0.0005123,-0.1034752
MsgID.GLOBAL_POSITION,1533654986.3871465,-122.3974494,37.7926971,4.9800000
MsgID.LOCAL_VELOCITY,1533654986.3871465,8.8800000,-0.0100000,-0.0500000
MsgID.LOCAL_POSITION,1533654986.3894076,24.1254597,0.0507095,-4.9808021
MsgID.LOCAL_VELOCITY,1533654986.3894076,8.8822956,-0.0150044,-0.0505703
MsgID.GLOBAL_POSITION,1533654986.6386590,-122.3974499,37.7927177,4.9810000
MsgID.LOCAL_VELOCITY,1533654986.6386590,8.8700000,-0.0100000,0.0000000
MsgID.LOCAL_POSITION,1533654986.6389065,26.4141808,0.0052079,-4.9817867
MsgID.LOCAL_VELOCITY,1533654986.6389065,8.8767385,-0.0143818,-0.0070161
MsgID.STATE,1533654986.8850358,True,True
MsgID.GLOBAL_HOME,1533654986.8852029,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654986.8871212,-122.3974499,37.7927357,4.9890000
MsgID.LOCAL_VELOCITY,1533654986.8871212,8.8800000,0.0000000,-0.0200000
MsgID.LOCAL_POSITION,1533654986.9300196,28.4204502,0.0024270,-4.9892235
MsgID.LOCAL_VELOCITY,1533654986.9300196,8.8851376,-0.0095055,-0.0224354
MsgID.GLOBAL_POSITION,1533654987.1389520,-122.3974499,37.7927557,4.9910000
MsgID.LOCAL_VELOCITY,1533654987.1389520,8.8700000,0.0000000,0.0500000
MsgID.LOCAL_POSITION,1533654987.1391056,30.6340504,0.0006477,-4.9910445
MsgID.LOCAL_VELOCITY,1533654987.1391056,8.8718805,-0.0068467,0.0582141
MsgID.GLOBAL_POSITION,1533654987.3883731,-122.3974500,37.7927761,4.9850000
MsgID.LOCAL_VELOCITY,1533654987.3883731,8.8800000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,1533654987.3890097,32.9075737,-0.0015579,-4.9851542
MsgID.LOCAL_VELOCITY,1533654987.3890097,8.8875380,-0.0015324,0.0156872
MsgID.GLOBAL_POSITION,1533654987.6391315,-122.3974497,37.7927960,4.9890000
MsgID.LOCAL_VELOCITY,1533654987.6391315,8.9000000,0.0000000,-0.0200000
MsgID.LOCAL_POSITION,1533654987.6397746,35.1171646,0.0260278,-4.9892106
MsgID.LOCAL_VELOCITY,1533654987.6397746,8.9019203,0.0009072,-0.0240811
MsgID.STATE,1533654987.8863933,True,True
MsgID.GLOBAL_HOME,1533654987.8870180,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1533654987.8885880,-122.3974494,37.7928174,4.9890000
